backend,centered_correspondence_turnover,centered_translation_norm_m,scene_id,scene_row_index
OPEN3D_POINT_TO_PLANE,0.02145792028032062,0.0006628775643263172,FMB1_W01,26
OPEN3D_POINT_TO_PLANE,0.014948968749312896,0.00047269478598680793,FMB1_W01,27
OPEN3D_POINT_TO_PLANE,0.004535657692737061,-0.0002448819332476068,FMB1_W01,28
OPEN3D_POINT_TO_PLANE,-5.083211944861832e-05,-1.4992339471399797e-05,FMB1_W01,29
OPEN3D_POINT_TO_PLANE,-0.007539280645881663,4.644309762422952e-06,FMB1_W01,30
OPEN3D_POINT_TO_PLANE,0.003279556355830715,0.00018058284194697393,FMB1_W02,1
OPEN3D_POINT_TO_PLANE,-0.004742920159313602,-0.00026131356599008065,FMB1_W02,2
OPEN3D_POINT_TO_PLANE,-0.020015583449761565,-0.00028280288076058504,FMB1_W02,3
OPEN3D_POINT_TO_PLANE,0.007661389194425883,-0.00020743739922808672,FMB1_W02,4
OPEN3D_POINT_TO_PLANE,-0.0011361621684826129,0.00015956371491222072,FMB1_W02,5
OPEN3D_POINT_TO_PLANE,-0.01785455796314822,-0.000317456321255375,FMB1_W02,6
OPEN3D_POINT_TO_PLANE,-0.010386995406597543,-5.582592977088432e-05,FMB1_W02,7
OPEN3D_POINT_TO_PLANE,-0.006884010425646514,-8.840311449766805e-05,FMB1_W02,8
OPEN3D_POINT_TO_PLANE,-0.01129725783826857,-0.00013584960807359604,FMB1_W02,9
OPEN3D_POINT_TO_PLANE,-0.007234564482071104,-0.00012311087140817896,FMB1_W02,10
OPEN3D_POINT_TO_PLANE,0.0011361621684826129,-5.286765086535646e-06,FMB1_W02,11
OPEN3D_POINT_TO_PLANE,0.010079458663570906,0.00017207817378203291,FMB1_W02,12
OPEN3D_POINT_TO_PLANE,-0.0017208094215417913,-2.3977112872205727e-05,FMB1_W02,13
OPEN3D_POINT_TO_PLANE,0.007173438371916363,0.00017479848898409702,FMB1_W02,14
OPEN3D_POINT_TO_PLANE,0.008141389332972204,0.00034430500125714656,FMB1_W02,15
OPEN3D_POINT_TO_PLANE,0.01381676152354433,0.00020077019638316078,FMB1_W02,16
OPEN3D_POINT_TO_PLANE,-0.0027256479354270113,1.8288662293454655e-05,FMB1_W02,17
OPEN3D_POINT_TO_PLANE,0.029391328289966878,0.0005597010672541449,FMB1_W02,18
OPEN3D_POINT_TO_PLANE,0.017021121049245636,0.0003971928307281241,FMB1_W02,19
OPEN3D_POINT_TO_PLANE,-0.00881736817292772,1.697783813332473e-05,FMB1_W02,20
OPEN3D_POINT_TO_PLANE,-0.003404258540868288,-0.00012620410060868814,FMB1_W02,21
OPEN3D_POINT_TO_PLANE,-0.010652355908611744,-5.126187815874026e-05,FMB1_W02,22
OPEN3D_POINT_TO_PLANE,0.0029756285923173142,2.8594780506318272e-05,FMB1_W02,23
OPEN3D_POINT_TO_PLANE,0.012033169194763105,-9.36190339890269e-05,FMB1_W02,24
